id,fen,sol,turn,rating,n_moves
33kLp,8/1p2P2k/1p4p1/2p1np2/2P5/1P4R1/r2r1PKP/3B2R1 b - - 0 34,d2f2 g2h3 f2h2,b,886,3
8SPeM,5r1k/p1R3R1/1p4p1/8/1p6/2P4P/Pb4PK/5q2 w - - 3 34,g7h7 h8g8 c7g7,w,887,3
QwRC3,8/R3R3/5r1k/6p1/7p/8/5r2/6K1 w - - 0 49,e7h7 h6g6 a7g7,w,887,3
FTJBN,2r3k1/R2R1r2/pp2p1qp/4Qp2/2P3p1/6P1/P7/6K1 w - - 10 34,d7f7 g6f7 a7f7,w,888,3
qTDZA,8/p4N1k/7p/6p1/2p1P1P1/P1R2PK1/rr4P1/5bR1 b - - 0 40,b2g2 g1g2 a2g2,b,888,3
yx0ne,2r3k1/RR4pp/5p2/5r2/1p6/8/1B6/6K1 w - - 0 46,b7g7 g8h8 g7h7,w,888,3
Gfv2n,8/7R/4kp2/R7/n4P2/6P1/rr3PKP/8 b - - 0 32,b2f2 g2h3 f2h2,b,889,3
b0gv7,3r2k1/P1R1R3/b6p/2K3p1/8/8/6PP/1r6 w - - 8 51,e7g7 g8h8 g7h7,w,889,3
r0SSb,8/p4p2/2R2Qpk/2p2P1p/8/6PK/1r2r2P/6bR b - - 0 33,e2h2 h1h2 b2h2,b,890,3
MIaiD,4r1n1/2R3Rp/p4p1k/1p3p2/5P2/P3r3/1PP3PP/5K2 w - - 6 32,g7h7 h6g6 c7g7,w,891,3
eZfCD,8/5pk1/4p1p1/p3P2P/P4PQ1/8/1r3rPK/8 b - - 0 40,f2g2 g4g2 b2g2,b,891,3
lxbqk,8/p4ppk/8/P7/1P4PP/2PR1Nb1/2r1r3/6RK b - - 2 38,e2h2 f3h2 c2h2,b,891,3
msCvC,8/5k1p/1R1Bp3/5p2/3P3b/4PK2/r1r2P2/5R2 b - - 0 34,c2f2 f1f2 a2f2,b,891,3
vO5Ry,8/4n1k1/3q3p/2p3p1/2BpQ3/P5P1/1r3rNP/R3R1K1 b - - 0 30,f2g2 e4g2 b2g2,b,891,3
Gvdik,8/1R3R1p/p3p1pk/8/q2P4/5KPP/8/8 w - - 1 43,f7h7 h6g5 h3h4 g5f6 b7f7,w,892,5
mJKBE,2k4r/1pp2RR1/p1pr4/6P1/8/1P1P4/P1PK3p/8 w - - 2 33,f7c7 c8b8 c7b7 b8a8 b7a7,w,892,5
tRjKO,6k1/1p3Rpp/4p3/p3P3/8/P6P/1Prr1RPK/8 b - - 0 27,d2f2 f7f2 c2f2,b,892,3
2YhXu,r7/3R2R1/k1qP4/pp2np2/2p5/4B3/PP3K1P/8 w - - 2 38,d7a7 a8a7 g7a7,w,893,3
jxwbA,8/7k/4P3/1p6/3P1R2/pP4P1/r1r2RKP/8 b - - 0 40,c2f2 f4f2 a2f2,b,893,3
dfNCd,7r/4RR2/6p1/pp5k/5P2/5P2/r7/6K1 w - - 1 36,f7h7 h8h7 e7h7,w,894,3
lMLnN,7r/2RR3p/2n3p1/6Pk/1n2p2P/6K1/5P2/q7 w - - 1 37,d7h7 h8h7 c7h7,w,894,3
z8oRZ,1r6/3RR3/pkp2p1p/1pN1n3/1P6/1K6/5P2/2r5 w - - 10 38,d7b7 b8b7 e7b7,w,894,3
8Cfoz,8/8/8/6k1/PP3R2/6P1/1r4r1/5R1K b - - 3 39,g2h2 h1g1 b2g2,b,895,3
CZxpo,6kb/5p2/5P1p/8/8/P1P1Q1P1/1r4r1/5R1K b - - 3 38,g2h2 h1g1 b2g2,b,897,3
NX5CI,5b1k/7p/5p2/2p1pP2/1pQ1P3/1P4P1/rr4P1/3R2K1 b - - 2 41,b2g2 g1h1 g2h2,b,897,3
WYh4b,1r4k1/2RR2pp/3p4/p7/Pp1P4/r6P/6P1/6K1 w - - 4 30,d7g7 g8h8 g7h7,w,898,3
aTeLw,3r1k2/RR4p1/5p2/1p3r2/2pPp2P/4P1b1/1P4N1/6K1 w - - 0 34,b7f7 f8g8 f7g7,w,898,3
Fs6Kf,6k1/5pp1/p6p/3p2b1/3B4/P1P3P1/1rr1RP1P/4R1K1 b - - 10 30,c2e2 e1e2 b2e2,b,899,3
PZHd5,4k3/8/3P4/p3P3/2p5/P1P3PN/1r3r1P/4R1K1 b - - 0 43,f2g2 g1h1 g2h2,b,899,3
VPU15,6rk/R4R1p/7r/4n1b1/8/2p4P/P1B3P1/7K w - - 3 40,f7h7 h6h7 a7h7,w,899,3
ecq4B,2rr2k1/RR4pp/8/3Ppp2/8/2b2B2/5P1P/6K1 w - - 0 25,b7g7 g8h8 g7h7,w,900,3
egWBj,r3r1k1/2RR3p/6p1/6P1/p1P4n/Pp2P3/1P3P2/2K5 w - - 5 36,d7g7 g8h8 g7h7,w,901,3
NrVvA,3rk3/RR3ppp/1P2p3/8/4b3/6bP/6P1/6K1 w - - 12 40,b7e7 e8f8 e7f7 f8g8 f7g7,w,902,5
DmINK,r3r3/kpR1R2Q/pq3p2/6b1/3p4/3P4/PPP2P1P/1K6 w - - 3 27,c7b7 b6b7 e7b7,w,903,3
aTUaB,8/4k3/5R1p/1p2p2P/6P1/2P1K3/r2rNR2/8 b - - 0 42,d2e2 f2e2 a2e2,b,903,3
dW9AB,8/1R3Rpk/8/8/P2K3p/6q1/8/8 w - - 0 44,f7g7 g3g7 b7g7,w,903,3
nav5J,8/p4Qb1/1p4pk/7p/7P/PP2N1PK/1r2rP2/8 b - - 4 33,e2f2 f7f2 b2f2,b,903,3
VgzYr,6k1/5pp1/1Pp4p/8/1P3PP1/8/1P2r1r1/R4R1K b - - 2 33,g2h2 h1g1 e2g2,b,904,3
dQjqm,8/R5R1/2p2r1k/5pp1/8/4Pq1P/7K/8 w - - 2 41,g7h7 h6g6 a7g7,w,904,3
93AlG,2r4r/4RR1p/p5p1/1bp3Pk/7P/6K1/P1p5/8 w - - 1 37,f7h7 h8h7 e7h7,w,905,3
mz92D,4k3/pR1Rb1p1/8/7p/2P4P/4q1P1/KP6/8 w - - 3 41,d7e7 e3e7 b7e7,w,905,3
BJTGg,5r2/pb2kpRR/4p1B1/1p2P1K1/8/2r5/P1P5/8 w - - 4 33,g7f7 f8f7 h7f7,w,906,3
M6ZNc,1R6/5pkp/8/PP3p2/8/7P/r4rP1/4R1K1 b - - 0 41,f2g2 g1h1 g2h2,b,906,3
F2gLN,8/2kn4/1nN4R/1p4P1/8/1P5P/1BP1r1r1/2KR4 b - - 0 37,e2c2 c1b1 c2b2,b,907,3
PzLDz,6k1/1p4qp/3pP1p1/3P1pP1/1p3P1P/1P2Q3/r1r1R3/3R1K2 b - - 3 29,c2e2 e3e2 a2e2,b,907,3
XjPYO,1k1r4/1p1rRR2/2p2p2/p5p1/1nP5/1P6/PKB2P2/8 w - - 3 36,e7d7 d8d7 f7d7,w,907,3
QG41F,r6r/kp1R1R1p/p1b1pp2/2N1b3/6P1/7P/PP3P2/6K1 w - - 5 30,d7b7 c6b7 f7b7,w,908,3
UKlNJ,7r/pp1RR2p/1b4p1/6Pk/2p4P/2P4K/8/r7 w - - 1 40,e7h7 h8h7 d7h7,w,908,3
fMW6h,2k1r2r/ppp2RR1/8/1P6/2K4p/3P4/P1P1nP2/8 w - - 0 27,f7c7 c8b8 c7b7 b8a8 b7a7,w,908,5
eQx9b,2r3k1/R2R2p1/6Pp/5r1P/1p2p3/1P6/P7/1K6 w - - 0 36,d7g7 g8h8 g7h7,w,909,3
hLxEH,4r1k1/2RRr1b1/p6p/6p1/4p3/4B1P1/1P3P1P/6K1 w - - 5 35,d7e7 e8e7 c7e7,w,909,3
1jBSV,8/5kpp/4Rp2/8/3P1P2/1P2RK2/1rr3PP/8 b - - 0 31,c2f2 f3g3 f2g2,b,910,3
541nj,8/R5R1/1p2p2k/2p1P1p1/2P1P3/2r5/Pr6/6K1 w - - 1 34,g7h7 h6g6 a7g7,w,910,3
DiOy3,6k1/5ppp/4p3/3q4/8/3pQ1P1/rr1B1P1R/3R2K1 b - - 1 31,b2d2 e3d2 a2d2,b,910,3
Fdzxz,4rr2/2RR1npk/1p5p/p7/3P4/P1P3P1/1P3PK1/8 w - - 5 30,d7f7 f8f7 c7f7,w,910,3
LGnJH,8/3R1Rpk/1p5p/p1p1q3/P1P5/7P/6P1/7K w - - 0 38,f7g7 e5g7 d7g7,w,910,3
XffBr,8/8/3R4/3P4/4pk2/8/rr6/4R1K1 b - - 0 41,b2g2 g1h1 g2h2,b,910,3
RGSH9,8/R1Rnk1pp/1p2p3/3p1p2/3P4/4P2P/5qPK/8 w - - 0 34,c7d7 e7f6 d7f7 f6g5 f7g7,w,911,5
vcmLF,5r1k/2RR3p/5N2/p5p1/1b6/1P5r/1P6/1K6 w - - 3 38,d7h7 h3h7 c7h7,w,911,3
RVZu3,6k1/4b1p1/4Pp1p/8/1p1B4/1P6/r1r1R1PP/4R1K1 b - - 2 32,c2e2 e1e2 a2e2,b,912,3
ZT2mL,7r/1R3R2/3p1p2/2p1pPpk/2p1n2p/4N3/4r3/6K1 w - - 4 42,f7h7 h8h7 b7h7,w,912,3
aqkPo,2r1rk2/2RR1ppb/p7/8/2p5/7P/PP3PK1/8 w - - 0 29,d7f7 f8g8 f7g7 g8h8 g7h7,w,912,5
XIBS1,6k1/3b1pp1/2pq3p/3p4/3P4/3QPB2/rrR2PPP/2R3K1 b - - 3 24,b2c2 d3c2 a2c2,b,913,3
r3lvy,6n1/R4Rpk/2p4p/4r3/1P6/6P1/5PKP/4r3 w - - 1 44,f7g7 h7h8 g7h7,w,913,3
